state,st,color,vap,vep,votes_hrc,tot_votes,pct_hrc_vep,pct_hrc_voters,cces_n_voters,cces_n_raw,cces_tothrc_adj_trn,cces_tothrc_raw,cces_pct_hrc_voters,cces_pct_hrc_vep,cces_pct_hrc_raw,cv_turnout_wgt,yougov_pct_hrc,yougov_n,State Results Website,rho_voter,rho_vep
New Hampshire,NH,swing,1076739,1042102,348526,744158,0.3344451886667524,0.4683494634204027,292.1,376,134.1,155,0.4590893529613146,0.35664893617021276,0.4122340425531915,0.3689454496687576,0.43,430,http://sos.nh.gov/2016GenResults.aspx,-3.4499596666018334e-4,-0.0021364919133558284
New Jersey,NJ,D,6959892,6042792,2148278,3874046,0.3555108300931093,0.554530844496942,1352.4,1831,680.6,844,0.5032534753031648,0.37170944838885855,0.4609503003823048,0.44208038859587595,0.47700000000000004,2377,http://www.state.nj.us/state/elections/2016-results/2016-official-general-results-president-1206b.pdf,-0.0017632938034634394,-0.0032779705614485403
New Mexico,NM,D,1591069,1456551,385234,798318,0.2644837015662342,0.48255707625282157,297.1,383,127.3,150,0.428475260854931,0.3323759791122715,0.391644908616188,0.37566427531332464,0.41700000000000004,508,http://electionresults.sos.state.nm.us/,-0.0019548504282357053,-0.002950598300981003
New York,NY,D,15557982,13591250,4556124,7721453,0.33522479536466476,0.5900604458772203,3191.2,4320,1805.5,2245,0.5657746302331411,0.4179398148148148,0.5196759259259259,0.4289305086346869,0.527,4663,http://www.elections.ny.gov/2016ElectionResults.html,-9.227316166610774e-4,-0.002551820920621452
North Carolina,NC,swing,7880013,7318442,2189316,4741564,0.2991505569081507,0.46172866168209475,1506.4,2004,735.4,896,0.48818374933616565,0.36696606786427144,0.4471057884231537,0.41370443743672203,0.435,2916,http://er.ncsbe.gov/?election_dt=11/08/2016&county_id=0&office=FED&contest=0,8.741317712680954e-4,-4.854423722362726e-4
North Dakota,ND,R,581188,565031,93758,344360,0.1659342584743138,0.27226739458706006,93.5,126,35.300000000000004,42,0.3775401069518717,0.2801587301587302,0.3333333333333333,0.419449096652303,0.32299999999999995,201,http://results.sos.nd.gov/resultsSW.aspx?text=Race&type=SW&map=CTY,0.0035940949797665135,0.002048862748863213
Ohio,OH,swing,9007953,8737173,2394164,5496487,0.27402044116558066,0.4355807627672002,2034.5,2698,990.1,1199,0.4866551978373065,0.36697553743513717,0.4444032616753151,0.4104815861797714,0.43200000000000005,3455,https://vote.ohio.gov/,0.0018336224174939264,3.127223590686907e-4
Oklahoma,OK,R,2965905,2773970,420375,1452992,0.15154273478083757,0.2893168028454389,436.7,624,163.6,209,0.37462789100068694,0.2621794871794872,0.3349358974358974,0.4967994548915972,0.268,949,https://www.ok.gov/elections/support/20161108_seb.html,0.0029214124708390713,0.001509079350510792
Oregon,OR,D,3244277,3012502,1002106,2001336,0.332649073759951,0.5007185200286208,808.1,1022,403.2,470,0.49894814998143794,0.39452054794520547,0.4598825831702544,0.34361020482882026,0.43799999999999994,1112,http://sos.oregon.gov/elections/Documents/results/november-2016-results.pdf,-6.729942880286298e-5,-0.0015045562322802478
Pennsylvania,PA,swing,10108486,9701644,2926441,6115402,0.3016438244899524,0.4785361616456285,2536.5,3524,1118.9,1383,0.4411196530652474,0.3175085130533485,0.39245175936435867,0.4670951624559378,0.42700000000000005,3704,http://www.electionreturns.pa.gov/ENR_New/General/CountyBreakDownResults?officeId=1&districtId=1&ElectionID=undefined&ElectionType=undefined&IsActive=undefined,-0.0013823477186669466,-0.003284953013651361
Rhode Island,RI,D,848975,786033,252525,464144,0.32126513772322535,0.5440660657037472,153.6,212,72.4,95,0.47135416666666674,0.3415094339622642,0.4481132075471698,0.45036651379159137,0.47,287,http://www.ri.gov/election/results/2016/general_election/,-0.002421896463885114,-0.003164369957800314
South Carolina,SC,R,3883145,3706769,855373,2103027,0.2307597263276994,0.4067341978966509,621.5,857,247,303,0.39742558326629124,0.2882147024504084,0.35355892648774795,0.4575927301540314,0.35600000000000004,1298,http://www.enr-scvotes.org/SC/64658/182853/en/summary.html,-2.962599018937035e-4,-0.0016461620031238183
South Dakota,SD,R,653841,632989,117458,370093,0.18556088652409441,0.3173742815994899,121.3,167,44.300000000000004,56,0.3652102225886233,0.2652694610778443,0.33532934131736525,0.4510407418729817,0.313,246,https://sdsos.gov/elections-voting/assets/2016GeneralElectionOfficialStateCanvass.pdf,0.001696287377125272,6.26652990143341e-4
Tennessee,TN,R,5164969,4899384,870695,2508027,0.17771519848209488,0.34716332798650096,851.5,1215,342,424,0.4016441573693482,0.2814814814814815,0.34897119341563787,0.4990799611530741,0.33899999999999997,1729,http://sos-tn-gov-files.s3.amazonaws.com/PresidentbyCountyNov2016.pdf,0.0018869678589843093,5.9809223462661376e-5
Texas,TX,R,20671564,17396296,3877868,8969226,0.2229134293874972,0.4323525798101196,3165.3,4462,1441.6000000000001,1859,0.45543866300192715,0.32308381891528465,0.41662931420887495,0.48103278041308384,0.368,5874,http://elections.sos.state.tx.us/elchist319_state.htm,7.89016041846775e-4,-5.083659818429389e-4
Utah,UT,R,2144784,1995987,310676,1131430,0.15565031235173377,0.274587027036582,392.90000000000003,531,122.60000000000001,150,0.31203868668872486,0.23088512241054615,0.2824858757062147,0.4323141596510391,0.237,676,https://elections.utah.gov/election-resources/2016-election-information,0.001435565012415342,2.8870699705057444e-4
Vermont,VT,D,506048,494879,178573,315067,0.36084174111247397,0.5667778599472493,96.5,132,42.4,49,0.4393782383419689,0.3212121212121212,0.3712121212121212,0.45371444932344085,0.405,191,https://vtelectionresults.sec.state.vt.us/Index.html#/state,-0.004098036939452897,-0.006446535721223333
Virginia,VA,D,6551390,6027262,1981473,3982752,0.3287517615793042,0.49751352833417695,1543.7,2008,811.1,968,0.5254259247263069,0.40393426294820717,0.4820717131474104,0.38883837943296257,0.461,2460,http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Presidential.html,0.001024521159332741,-5.6380365965763e-4
Washington,WA,D,5691833,5121782,1742718,3365644,0.34025618427336424,0.517796296934554,1108.8,1444,572.3000000000001,684,0.5161435786435787,0.3963296398891967,0.47368421052631576,0.3875065955647295,0.474,1985,http://results.vote.wa.gov/results/current/,-5.598599921147583e-5,-0.0014825083230857311
West Virginia,WV,R,1453201,1425962,188794,713051,0.13239763752470263,0.26476928017771517,278.90000000000003,429,88.3,107,0.3166009322337755,0.2058275058275058,0.2494172494172494,0.5708819244144226,0.257,472,http://services.sos.wv.gov/apps/elections/results/,0.002017999541118951,-6.036152738682436e-4
Wisconsin,WI,swing,4495783,4288320,1382536,2976150,0.3223957167375569,0.4645384137224266,992.2,1354,455.7,557,0.45928240274138277,0.3365583456425406,0.4113737075332349,0.440721701702173,0.42200000000000004,1794,http://elections.wi.gov/sites/default/files/Statewide%20Results%20All%20Offices%20%28post-Presidential%20recount%29.pdf,-1.761039544365783e-4,-0.0018944482849800434
Wyoming,WY,R,446396,428283,55973,255849,0.13069162212835905,0.2187735734749794,71.3,99,26.900000000000002,34,0.37727910238429174,0.27171717171717175,0.3434343434343434,0.49416256100093126,0.262,151,http://soswy.state.wy.us/Elections/Docs/2016/2016GeneralResults.aspx,0.0057387268901158426,0.004585073390840286
